subject,session,data_source,structured_data,channel,signal,stimulus,block,mean_baseline,std_baseline,mean_task,std_task,task_minus_baseline,area_under_curve_task,time_to_peak,time_to_nadir
102,1,1,1,16,1,1,1,0.22039,1.9244,1.2011,2.3488,0.98067,61.628,19,37
102,1,1,1,16,2,1,1,-0.30485,0.20923,-0.07988,0.2993,0.22497,-4.4545,52,24
102,1,1,1,17,1,1,1,-0.73894,2.2998,1.9044,2.991,2.6434,97.436,27,37
102,1,1,1,17,2,1,1,-0.20257,0.50418,-0.089794,0.45406,0.11278,-4.2712,34,3
102,1,1,1,18,1,1,1,-0.63341,3.7242,2.4894,4.5393,3.1228,126.32,26,37
102,1,1,1,18,2,1,1,1.6488,5.1549,-1.9952,5.6775,-3.6439,-107.35,47,29
102,1,1,1,19,1,1,1,-0.32023,2.6293,1.8889,3.1551,2.2092,97.633,29,37
102,1,1,1,19,2,1,1,-0.14244,0.6878,-0.32705,0.8193,-0.18462,-16.117,35,1
102,1,1,1,21,1,1,1,-0.90319,2.6011,2.1874,3.4694,3.0906,113.32,29,38
102,1,1,1,21,2,1,1,0.14149,0.48881,-0.74914,1.2123,-0.89063,-38.429,37,22
102,1,1,1,22,1,1,1,-1.4525,2.8362,1.6416,2.8504,3.0941,82.691,15,38
102,1,1,1,22,2,1,1,0.0052477,0.28948,-0.28305,0.3677,-0.28829,-14.247,41,21
102,1,1,1,24,1,1,1,-1.7493,2.5918,2.1495,3.3548,3.8988,109.36,18,38
102,1,1,1,24,2,1,1,0.096745,0.21775,-0.32823,0.43892,-0.42498,-16.904,50,28
104,1,1,1,1,1,1,1,1.3837,2.1935,0.58214,2.3636,-0.80159,31.376,31,50
104,1,1,1,1,2,1,1,-0.5543,1.2214,0.56017,1.0116,1.1145,28.896,30,44
104,1,1,1,3,1,1,1,-0.7245,1.817,0.86209,2.2723,1.5866,44.521,12,38
104,1,1,1,3,2,1,1,-0.6859,0.41148,0.036268,0.55754,0.72216,1.3989,50,9
104,1,1,1,4,1,1,1,0.082433,1.0617,0.33937,1.8481,0.25694,18.807,31,52
104,1,1,1,4,2,1,1,-0.65124,0.74012,0.32148,0.67488,0.97272,16.244,30,38
104,1,1,1,6,1,1,1,-0.21113,1.6203,1.3141,3.2232,1.5253,68.986,27,40
104,1,1,1,6,2,1,1,-0.077342,0.49837,0.39972,0.80633,0.47706,19.943,4,36
104,1,1,1,8,1,1,1,0.088439,1.8144,0.32358,1.5305,0.23514,15.762,8,38
104,1,1,1,8,2,1,1,0.14427,0.47141,-0.25953,0.54882,-0.4038,-14.421,52,13
104,1,1,1,10,1,1,1,-1.2776,3.1779,0.77837,3.1717,2.056,43.769,31,1
104,1,1,1,10,2,1,1,0.31431,0.87328,-0.31224,1.0984,-0.62655,-17.337,1,37
104,1,1,1,11,1,1,1,0.38827,2.6354,-0.55609,2.0658,-0.94436,-30.991,49,34
104,1,1,1,11,2,1,1,-0.06054,0.87264,-0.35612,1.1083,-0.29558,-19.395,51,5
104,1,1,1,13,1,1,1,0.12874,2.4334,0.77801,2.9828,0.64928,42.705,27,51
104,1,1,1,13,2,1,1,-0.68987,0.96203,0.47211,1.215,1.162,24.474,19,44
104,1,1,1,15,1,1,1,-0.33714,1.8461,0.61849,2.519,0.95562,33.345,31,37
104,1,1,1,15,2,1,1,-0.41993,1.3599,1.1785,2.6902,1.5984,62.417,31,43
104,1,1,1,16,1,1,1,-0.26317,2.2682,0.69664,2.0615,0.95981,37.23,12,38
104,1,1,1,16,2,1,1,-0.042149,0.95929,-0.12283,0.59271,-0.080682,-7.203,50,45
104,1,1,1,18,1,1,1,-0.43958,1.3624,0.33555,1.3585,0.77513,17.409,27,36
104,1,1,1,18,2,1,1,0.23184,0.9205,0.41574,1.6421,0.1839,23.278,31,46
104,1,1,1,19,1,1,1,-0.47587,1.9474,0.014048,1.7955,0.48992,-1.8707,52,37
104,1,1,1,19,2,1,1,0.26244,0.31845,-0.282,0.66362,-0.54444,-14.741,36,15
104,1,1,1,20,1,1,1,-0.11619,2.2402,1.1436,3.705,1.2598,62.197,27,51
104,1,1,1,20,2,1,1,-0.3179,1.023,0.30605,0.82138,0.62395,14.439,52,43
104,1,1,1,21,1,1,1,-0.74056,1.1012,0.47684,1.1692,1.2174,24.299,8,37
104,1,1,1,21,2,1,1,0.14874,0.35121,-0.09479,0.60683,-0.24353,-4.4774,36,8
104,1,1,1,22,1,1,1,0.0215,3.3045,-0.60954,3.1298,-0.63104,-36.238,52,25
104,1,1,1,22,2,1,1,0.1672,1.331,-0.96478,2.1207,-1.132,-52.111,50,22
104,1,1,1,23,1,1,1,-0.54541,1.5865,0.92501,2.0188,1.4704,48.464,11,39
104,1,1,1,23,2,1,1,-0.29909,0.46469,0.048933,0.50905,0.34802,2.5217,29,9
105,1,1,1,2,1,1,1,-1.2534,2.2417,1.3654,3.3105,2.6188,73.976,30,1
105,1,1,1,2,2,1,1,-0.47694,0.55496,0.071357,0.86704,0.5483,2.8779,52,43
105,1,1,1,3,1,1,1,-1.0725,0.96174,1.0336,1.6368,2.1061,53.115,14,35
105,1,1,1,3,2,1,1,0.2411,0.29565,0.0096923,0.3693,-0.23141,0.62531,30,39
105,1,1,1,4,1,1,1,-0.89278,1.2618,1.482,2.4714,2.3748,78.6,24,44
105,1,1,1,4,2,1,1,-0.14243,0.76495,-0.15759,0.79091,-0.015165,-9.2198,52,35
105,1,1,1,5,1,1,1,0.73625,2.0685,0.90406,3.0559,0.16781,50.827,30,52
105,1,1,1,5,2,1,1,0.85585,0.81121,0.63013,1.9736,-0.22572,33.247,25,45
105,1,1,1,6,1,1,1,-1.1266,1.3528,1.7842,2.9173,2.9108,93.195,19,45
105,1,1,1,6,2,1,1,-0.087919,0.87138,-0.02519,0.73774,0.062728,-2.066,51,37
105,1,1,1,7,1,1,1,-0.82885,0.86471,1.0703,1.7288,1.8991,56.17,24,44
